activity	time	p	p_peak	p_smooth
3	1450	3214285.7142857146	0.32142857142857145	0.35714285714285715
4	1450	4782608.695652174	0.4782608695652174	0.43478260869565216
5	1450	2857142.857142857	0.2857142857142857	0.2857142857142857
1	1451	4285714.285714285	0.42857142857142855	0.5873015873015873
2	1451	7222222.222222222	0.7222222222222222	0.6666666666666666
3	1451	4642857.142857143	0.46428571428571425	0.39285714285714285
4	1451	3913043.4782608696	0.391304347826087	0.44927536231884063
5	1451	4285714.285714285	0.42857142857142855	0.42857142857142855
1	1452	8571428.57142857	0.8571428571428571	0.6031746031746031
2	1452	7777777.777777778	0.7777777777777778	0.6296296296296297
3	1452	3928571.4285714286	0.39285714285714285	0.44047619047619047
4	1452	4782608.695652174	0.4782608695652174	0.391304347826087
5	1452	5714285.714285714	0.5714285714285714	0.42857142857142855
1	1453	5238095.238095239	0.5238095238095238	0.6666666666666666
2	1453	3888888.888888889	0.3888888888888889	0.6296296296296297
3	1453	4642857.142857143	0.46428571428571425	0.46428571428571425
4	1453	3043478.2608695654	0.30434782608695654	0.4057971014492754
5	1453	2857142.857142857	0.2857142857142857	0.6190476190476191
1	1454	6190476.19047619	0.6190476190476191	0.6349206349206349
2	1454	7222222.222222222	0.7222222222222222	0.6296296296296297
3	1454	5357142.857142857	0.5357142857142857	0.46428571428571425
4	1454	4347826.0869565215	0.43478260869565216	0.4202898550724637
5	1454	10000000	1	0.5238095238095237
1	1455	7619047.6190476185	0.7619047619047619	0.7142857142857143
2	1455	7777777.777777778	0.7777777777777778	0.7222222222222222
3	1455	3928571.4285714286	0.39285714285714285	0.5595238095238095
4	1455	5217391.304347826	0.5217391304347826	0.4202898550724638
5	1455	2857142.857142857	0.2857142857142857	0.5238095238095237
1	1456	7619047.6190476185	0.7619047619047619	0.746031746031746
2	1456	6666666.666666666	0.6666666666666666	0.6481481481481481
3	1456	7500000	0.75	0.6071428571428571
4	1456	3043478.2608695654	0.30434782608695654	0.4202898550724638
5	1456	2857142.857142857	0.2857142857142857	0.2857142857142857
1	1457	7142857.142857143	0.7142857142857143	0.6507936507936508
2	1457	5000000	0.5	0.6666666666666666
3	1457	6785714.285714286	0.6785714285714286	0.6547619047619048
